iter	MultiClass
0	1.654973177
1	1.562463401
2	1.490541389
3	1.433593238
4	1.386325254
5	1.346055014
6	1.314762121
7	1.288150323
8	1.264415783
9	1.244229167
10	1.22465993
11	1.210572823
12	1.197604835
13	1.185409476
14	1.175471377
15	1.165855133
16	1.158008456
17	1.149473392
18	1.142922223
19	1.136556226
20	1.131621255
21	1.125845733
22	1.121136725
23	1.116146317
24	1.1116339
25	1.107301061
26	1.104230987
27	1.099892205
28	1.097118693
29	1.093715319
30	1.09078175
31	1.0884462
32	1.086145434
33	1.084062514
34	1.081957565
35	1.080261227
36	1.078550992
37	1.077308367
38	1.076375646
39	1.074282531
40	1.072097453
41	1.06991826
42	1.068127894
43	1.066101294
44	1.064104451
45	1.06288861
46	1.061826182
47	1.060827644
48	1.059579905
49	1.058672236
50	1.05773092
51	1.056283435
52	1.054928202
53	1.053805932
54	1.052605237
55	1.051697402
56	1.050691803
57	1.049632235
58	1.04767582
59	1.046576039
60	1.04564807
61	1.045109671
62	1.044338816
63	1.042391372
64	1.041219787
65	1.039605382
66	1.038293904
67	1.037184005
68	1.036337384
69	1.034996531
70	1.034591539
71	1.034163996
72	1.033764613
73	1.031896642
74	1.030990629
75	1.029695861
76	1.028828837
77	1.02832623
78	1.027434103
79	1.025884495
80	1.024739033
81	1.023671247
82	1.022094739
83	1.021172368
84	1.020124906
85	1.019107758
86	1.018408831
87	1.017788697
88	1.017069442
89	1.016406724
90	1.015088425
91	1.01402375
92	1.013491172
93	1.012353429
94	1.010999839
95	1.010116627
96	1.009107796
97	1.008491943
98	1.007765379
99	1.006556307
100	1.005876933
101	1.004666072
102	1.004236192
103	1.003592264
104	1.002827791
105	1.002252462
106	1.001508173
107	1.000464246
108	0.9999244779
109	0.9992673807
110	0.9986368119
111	0.9979226193
112	0.9970811959
113	0.996378511
114	0.9954902168
115	0.9947318162
116	0.9943983519
117	0.9938534438
118	0.9932516812
119	0.992387735
120	0.9916700687
121	0.9911561132
122	0.9907944387
123	0.9898799561
124	0.989097921
125	0.9886638632
126	0.9874251083
127	0.9866504301
128	0.9859251568
129	0.9855461808
130	0.9846799084
131	0.9837649408
132	0.9834809876
133	0.9829888992
134	0.9824113631
135	0.9820532979
136	0.9814477033
137	0.9810991609
138	0.9801648747
139	0.9795362651
140	0.9788362565
141	0.9785072521
142	0.977771161
143	0.9773898967
144	0.97704042
145	0.9764001312
146	0.9756861921
147	0.9751406034
148	0.9746220627
149	0.9742446871
150	0.9737005185
151	0.9730064206
152	0.9724028619
153	0.9717676256
154	0.9711053046
155	0.9705923177
156	0.9699109306
157	0.9697442432
158	0.9693329658
159	0.9690081176
160	0.9685128556
161	0.9681315386
162	0.9673630111
163	0.9667955616
164	0.9664812342
165	0.965597602
166	0.9649719825
167	0.9644915456
168	0.9637766351
169	0.9633906324
170	0.9631370574
171	0.9623761915
172	0.9617806688
173	0.9611332797
174	0.9606099255
175	0.9598647699
176	0.9593549488
177	0.9589091788
178	0.9584814355
179	0.9578760416
180	0.9575645567
181	0.9570373635
182	0.9565609494
183	0.9562002969
184	0.9555856252
185	0.9553471172
186	0.9546731582
187	0.9541024955
188	0.9535967888
189	0.9532662518
190	0.9524786474
191	0.9522464127
192	0.951611486
193	0.9508921107
194	0.9504502086
195	0.9499462384
196	0.9494392027
197	0.9488185124
198	0.9483783017
199	0.9477824927
200	0.9475199226
201	0.9470123112
202	0.9467662738
203	0.9462135619
204	0.9457648752
205	0.945287062
206	0.9448069885
207	0.9443976839
208	0.9438630808
209	0.943326775
210	0.9427150322
211	0.9421267065
212	0.9417198328
213	0.9410749261
214	0.9406357287
215	0.9400701155
216	0.9392983545
217	0.9388821561
218	0.9382021328
219	0.937907502
220	0.9375406182
221	0.9372889779
222	0.936965281
223	0.9366850642
224	0.9359752213
225	0.9355801611
226	0.9353065218
227	0.934772406
228	0.9343094945
229	0.933714441
230	0.933128675
231	0.9326725851
232	0.9322592476
233	0.9319608756
234	0.9316567809
235	0.9312948504
236	0.9306906838
237	0.9299589324
238	0.9294312004
239	0.9289623293
240	0.9287598472
241	0.9282542054
242	0.9280561577
243	0.9275067232
244	0.9271021387
245	0.9267935961
246	0.9263043453
247	0.9258297728
248	0.9253242648
249	0.9247843216
250	0.9240844986
251	0.9237344549
252	0.9233403948
253	0.9228699961
254	0.9223848712
255	0.9218692059
256	0.9212702946
257	0.9204871
258	0.9198823598
259	0.9195555467
260	0.9193667654
261	0.9189242269
262	0.918732859
263	0.9183732535
264	0.9180082236
265	0.9174324479
266	0.9171423678
267	0.9167789574
268	0.9163686471
269	0.9160507021
270	0.9156250223
271	0.9148449272
272	0.914454647
273	0.9139319749
274	0.9136246136
275	0.9131772517
276	0.9130823468
277	0.9125741643
278	0.9121237002
279	0.9118223176
280	0.911324778
281	0.9110859321
282	0.9107921784
283	0.9105505744
284	0.909936421
285	0.9094779595
286	0.9092429744
287	0.9088905546
288	0.9085817932
289	0.9081185097
290	0.9077887855
291	0.9073017865
292	0.9069980077
293	0.9066436744
294	0.9062745206
295	0.9055257701
296	0.9052797059
297	0.9049758047
298	0.9046279121
299	0.9044406882
300	0.9041537681
301	0.9037450805
302	0.9035937426
303	0.9029798239
304	0.9026340643
305	0.9021788483
306	0.9018595159
307	0.9016507066
308	0.9014439863
309	0.9007171675
310	0.900264531
311	0.8998627316
312	0.8995228535
313	0.8992613366
314	0.8986050985
315	0.8982470827
316	0.8978322375
317	0.8972375204
318	0.8968262704
319	0.8963803927
320	0.896039328
321	0.8956508164
322	0.8953168214
323	0.8950462823
324	0.8943827283
325	0.8940486913
326	0.8937885524
327	0.8934956273
328	0.8932334731
329	0.892911734
330	0.8925200463
331	0.8921534153
332	0.8918465434
333	0.8914122214
334	0.8913285343
335	0.8910975673
336	0.8907399806
337	0.8903861132
338	0.8900318592
339	0.8893747444
340	0.8891394948
341	0.8888682124
342	0.8885850976
343	0.8877233148
344	0.8873405383
345	0.8869279376
346	0.8866178092
347	0.88625167
348	0.8860480434
349	0.8855366551
350	0.8851023312
351	0.8846804634
352	0.8842008029
353	0.8836655191
354	0.8833927685
355	0.883034935
356	0.8824773454
357	0.8821167534
358	0.8816439176
359	0.88117979
360	0.8808762856
361	0.8803499862
362	0.8799772264
363	0.8796170368
364	0.8790418209
365	0.8788618835
366	0.8784109397
367	0.8776816653
368	0.8772347124
369	0.8770426743
370	0.8765845725
371	0.8762656694
372	0.8760314634
373	0.8756720812
374	0.8755113808
375	0.8752352019
376	0.8748547117
377	0.8745012877
378	0.8741938359
379	0.8739193104
380	0.8736593636
381	0.8734225443
382	0.8729944623
383	0.8726253464
384	0.8722791569
385	0.8720423223
386	0.8718186325
387	0.8713070972
388	0.8709802151
389	0.8706083292
390	0.8703583444
391	0.8699319249
392	0.8694059161
393	0.8689394706
394	0.8685298126
395	0.8682089826
396	0.8679993826
397	0.8676910632
398	0.8673131628
399	0.8671805505
400	0.8669803019
401	0.8668164669
402	0.8666271369
403	0.8663577635
404	0.8659192072
405	0.8654489929
406	0.8650617686
407	0.8647305708
408	0.864568343
409	0.86417587
410	0.8639862637
411	0.8635010849
412	0.8632026991
413	0.8629076923
414	0.8626760307
415	0.8624625836
416	0.8621632258
417	0.8619582333
418	0.8617413707
419	0.8611264974
420	0.8608147503
421	0.8604303217
