iter	Passed	Remaining
0	196	196410
1	221	110445
2	241	80240
3	260	64781
4	278	55341
5	297	49241
6	315	44689
7	333	41293
8	351	38733
9	369	36586
10	391	35176
11	417	34365
12	444	33736
13	474	33412
14	502	33021
15	537	33052
16	568	32898
17	596	32550
18	626	32355
19	645	31639
20	662	30900
21	680	30246
22	696	29596
23	717	29193
24	736	28735
25	754	28274
26	771	27794
27	789	27424
28	811	27176
29	833	26957
30	855	26747
31	879	26603
32	903	26465
33	926	26316
34	953	26278
35	976	26150
36	1002	26084
37	1028	26043
38	1052	25923
39	1079	25912
40	1103	25802
41	1123	25623
42	1140	25380
43	1158	25166
44	1175	24950
45	1191	24720
46	1209	24531
47	1226	24334
48	1244	24155
49	1260	23944
50	1276	23760
51	1294	23604
52	1315	23505
53	1340	23491
54	1365	23456
55	1396	23544
56	1427	23621
57	1457	23664
58	1484	23669
59	1505	23591
60	1530	23552
61	1550	23460
62	1575	23435
63	1598	23380
64	1624	23361
65	1647	23314
66	1671	23276
67	1696	23248
68	1718	23185
69	1742	23151
70	1764	23086
71	1787	23043
72	1812	23013
73	1837	22989
74	1860	22951
75	1885	22924
76	1910	22898
77	1932	22837
78	1957	22821
79	1980	22779
80	2005	22752
81	2027	22701
82	2051	22669
83	2069	22566
84	2087	22469
85	2104	22363
86	2121	22267
87	2138	22160
88	2154	22056
89	2170	21948
90	2188	21859
91	2205	21768
92	2223	21683
93	2240	21598
94	2258	21519
95	2275	21427
96	2292	21341
97	2314	21301
98	2333	21240
99	2359	21233
100	2383	21218
101	2409	21209
102	2432	21187
103	2457	21173
104	2483	21165
105	2504	21123
106	2526	21084
107	2543	21004
108	2559	20918
109	2575	20838
110	2591	20754
111	2608	20678
112	2625	20611
113	2642	20540
114	2659	20467
115	2676	20395
116	2691	20311
117	2707	20237
118	2724	20172
119	2743	20118
120	2760	20050
121	2776	19982
122	2796	19937
123	2823	19946
124	2848	19937
125	2871	19921
126	2893	19892
127	2917	19876
128	2940	19854
129	2963	19835
130	2989	19828
131	3013	19818
132	3035	19790
133	3060	19780
134	3085	19770
135	3107	19740
136	3130	19722
137	3154	19706
138	3177	19684
139	3203	19676
140	3223	19636
141	3244	19604
142	3267	19584
143	3293	19575
144	3316	19556
145	3342	19551
146	3367	19541
147	3391	19521
148	3416	19510
149	3438	19487
150	3464	19477
151	3487	19459
152	3511	19441
153	3535	19419
154	3558	19402
155	3581	19375
156	3603	19349
157	3625	19321
158	3649	19301
159	3673	19284
160	3696	19261
161	3719	19238
162	3739	19203
163	3765	19193
164	3792	19190
165	3815	19171
166	3841	19159
167	3864	19137
168	3889	19127
169	3915	19116
170	3938	19092
171	3964	19086
172	3988	19065
173	4013	19050
174	4037	19031
175	4060	19011
176	4087	19007
177	4116	19008
178	4142	18999
179	4168	18990
180	4192	18971
181	4217	18956
182	4241	18935
183	4263	18908
184	4285	18878
185	4306	18846
186	4329	18822
187	4357	18819
188	4384	18812
189	4407	18791
190	4433	18777
191	4454	18746
192	4478	18724
193	4502	18707
194	4523	18672
195	4540	18623
196	4563	18600
197	4581	18557
198	4602	18526
199	4620	18480
200	4639	18444
201	4659	18406
202	4675	18355
203	4693	18312
204	4711	18270
205	4736	18255
206	4761	18241
207	4785	18220
208	4810	18206
209	4833	18182
210	4863	18188
211	4886	18162
212	4911	18148
213	4936	18132
214	4964	18124
215	4990	18114
216	5017	18103
217	5040	18082
218	5065	18063
219	5083	18023
220	5101	17983
221	5118	17938
222	5133	17886
223	5150	17843
224	5167	17800
225	5182	17749
226	5199	17705
227	5215	17659
228	5232	17616
229	5248	17571
230	5267	17535
231	5284	17492
232	5300	17448
233	5317	17407
234	5333	17360
235	5349	17318
236	5366	17278
237	5383	17237
238	5399	17193
239	5416	17152
240	5430	17103
241	5446	17059
242	5461	17013
243	5478	16975
244	5495	16934
245	5512	16894
246	5528	16855
247	5546	16817
248	5561	16774
249	5578	16735
250	5596	16700
251	5612	16659
252	5628	16619
253	5644	16577
254	5662	16542
255	5678	16504
256	5696	16467
257	5713	16432
258	5729	16393
259	5746	16356
260	5762	16315
261	5778	16277
262	5793	16236
263	5809	16196
264	5824	16154
265	5841	16118
266	5856	16078
267	5872	16038
268	5887	15998
269	5901	15955
270	5918	15921
271	5935	15886
272	5952	15851
273	5968	15814
274	5983	15774
275	6000	15739
276	6014	15699
277	6031	15663
278	6047	15628
279	6064	15594
280	6080	15558
281	6095	15520
282	6111	15483
283	6128	15449
284	6145	15418
285	6160	15380
286	6176	15343
287	6191	15306
288	6208	15274
289	6225	15242
290	6245	15217
291	6262	15183
292	6278	15148
293	6294	15115
294	6310	15080
295	6326	15047
296	6342	15011
297	6357	14976
298	6375	14947
299	6391	14912
300	6407	14879
301	6423	14846
302	6437	14807
303	6453	14775
304	6468	14739
305	6483	14705
306	6499	14671
307	6515	14637
308	6530	14603
309	6546	14571
310	6562	14539
311	6577	14504
312	6593	14472
313	6609	14440
314	6626	14409
315	6641	14376
316	6657	14344
317	6673	14312
318	6690	14282
319	6706	14250
320	6720	14216
321	6736	14185
322	6752	14154
323	6767	14120
324	6783	14089
325	6799	14058
326	6814	14025
327	6830	13993
328	6845	13960
329	6859	13927
330	6875	13897
331	6891	13866
332	6907	13836
333	6923	13806
334	6938	13773
335	6953	13741
336	6968	13710
337	6984	13680
338	7001	13651
339	7016	13620
340	7032	13590
341	7047	13558
342	7063	13529
343	7080	13502
344	7096	13472
345	7112	13444
346	7128	13414
347	7143	13383
348	7158	13353
349	7175	13325
350	7191	13296
351	7207	13269
352	7226	13244
353	7243	13217
354	7258	13188
355	7274	13159
356	7290	13131
357	7304	13099
358	7320	13071
359	7337	13044
360	7353	13016
361	7369	12987
362	7385	12959
363	7400	12930
364	7417	12903
365	7432	12875
366	7448	12847
367	7465	12821
368	7480	12792
369	7496	12764
370	7512	12737
371	7527	12708
372	7542	12679
373	7558	12650
374	7573	12621
375	7589	12595
376	7605	12568
377	7621	12541
378	7638	12515
379	7654	12488
380	7668	12459
381	7685	12433
382	7701	12406
383	7718	12381
384	7734	12354
385	7749	12327
386	7764	12299
387	7788	12285
388	7808	12264
389	7825	12239
390	7840	12212
391	7855	12184
392	7872	12159
393	7889	12134
394	7905	12108
395	7921	12082
396	7936	12054
397	7952	12028
398	7968	12002
399	7982	11973
400	7997	11945
401	8012	11919
402	8027	11891
403	8043	11866
404	8059	11840
405	8076	11816
406	8093	11792
407	8110	11767
408	8124	11739
409	8140	11714
410	8156	11688
411	8172	11664
412	8190	11641
413	8216	11630
414	8236	11610
415	8252	11584
416	8267	11558
417	8283	11533
418	8299	11508
419	8317	11485
420	8332	11460
421	8348	11435
422	8366	11412
423	8381	11386
424	8398	11362
425	8413	11336
426	8429	11311
427	8444	11286
428	8461	11261
429	8477	11237
430	8493	11212
431	8507	11186
432	8522	11160
433	8538	11135
434	8555	11111
435	8569	11085
436	8585	11060
437	8604	11040
438	8620	11016
439	8636	10991
440	8655	10970
441	8669	10944
442	8685	10920
443	8701	10896
444	8717	10872
445	8733	10848
446	8749	10823
447	8765	10800
448	8781	10776
449	8797	10752
450	8813	10728
451	8828	10704
452	8845	10680
453	8860	10656
454	8876	10632
455	8893	10609
456	8909	10586
457	8927	10564
458	8943	10540
459	8958	10515
460	8974	10493
461	8990	10468
462	9005	10445
463	9020	10420
464	9039	10400
465	9054	10376
466	9071	10353
467	9088	10331
468	9105	10309
469	9120	10284
470	9135	10260
471	9152	10238
472	9168	10215
473	9185	10193
474	9203	10172
475	9218	10148
476	9235	10126
477	9251	10103
478	9266	10079
479	9281	10055
480	9297	10032
481	9313	10009
482	9329	9986
483	9345	9963
484	9362	9941
485	9378	9918
486	9393	9894
487	9408	9871
488	9424	9848
489	9438	9824
490	9455	9802
491	9470	9778
492	9486	9756
493	9503	9734
494	9560	9753
495	9594	9749
496	9617	9734
497	9635	9713
498	9653	9692
499	9668	9668
500	9684	9646
501	9700	9622
502	9716	9600
503	9733	9578
504	9749	9556
505	9765	9533
506	9781	9511
507	9798	9490
508	9813	9466
509	9829	9443
510	9844	9420
511	9859	9397
512	9875	9374
513	9892	9353
514	9908	9331
515	9922	9306
516	9937	9284
517	9953	9261
518	9968	9238
519	9985	9216
520	10000	9194
521	10018	9173
522	10033	9150
523	10049	9129
524	10066	9108
525	10083	9086
526	10101	9066
527	10117	9044
528	10133	9022
529	10148	8999
530	10167	8980
531	10185	8960
532	10201	8937
533	10217	8916
534	10233	8894
535	10248	8872
536	10265	8850
537	10281	8828
538	10296	8806
539	10311	8784
540	10327	8762
541	10344	8741
542	10360	8719
543	10376	8697
544	10393	8677
545	10409	8655
546	10425	8634
547	10441	8612
548	10457	8590
549	10472	8568
550	10489	8547
551	10504	8525
552	10520	8504
553	10537	8482
554	10553	8462
555	10570	8440
556	10586	8419
557	10602	8398
558	10617	8376
559	10631	8353
560	10647	8332
561	10664	8311
562	10681	8290
563	10696	8268
564	10711	8247
565	10728	8226
566	10745	8206
567	10761	8184
568	10777	8163
569	10793	8142
570	10809	8121
571	10826	8101
572	10843	8080
573	10859	8059
574	10874	8037
575	10889	8016
576	10905	7994
577	10920	7973
578	10935	7951
579	10952	7931
580	10969	7910
581	10984	7889
582	11000	7868
583	11017	7847
584	11034	7827
585	11051	7807
586	11067	7787
587	11084	7766
588	11099	7745
589	11115	7724
590	11131	7703
591	11148	7683
592	11164	7662
593	11179	7641
594	11195	7620
595	11210	7598
596	11226	7578
597	11241	7557
598	11258	7537
599	11273	7515
600	11289	7494
601	11305	7474
602	11322	7454
603	11338	7434
604	11354	7413
605	11370	7392
606	11386	7372
